column,n,nonpositive_removed,k_used,k_pickands_used,threshold,exceedances,observed_max,hill_xi,pickands_xi,gpd_xi,gpd_beta,pwm_xi,pwm_beta,lmoment_xi,lmoment_beta,endpoint,gap
Phi_Dist_11,61888,0,6189,6189,0.5418267219,6189,0.651247515,0.03577439213422287,-0.4898539018772506,-0.12964394855874373,0.02261432146331231,-0.12169779313767388,0.022445960992586205,-0.12169779313767343,0.022445960992586195,0.7162607908613091,0.06501327586130912
Phi_Dist_12,61888,0,6189,6189,1.089310686,6189,1.297394903,0.030738319729365707,-0.4620856217024844,-0.10618952240828795,0.03806655051380083,-0.13318319377098164,0.03900424438186328,-0.13318319377098212,0.03900424438186329,1.4477881482814368,0.15039324528143672
Phi_Dist_13,61888,0,6189,6189,0.4650552544,6189,0.60295354,0.05316290155475469,-0.326676822498047,-0.13902287100923078,0.02951860326547173,-0.13121241795809857,0.029307608730847735,-0.13121241795809865,0.02930760873084774,0.6773843701144335,0.07443083011443352
Phi_Dist_14,61888,0,6189,6189,0.6149062863,6189,0.746246055,0.030404580362155664,-0.6935141622954624,-0.11424688428525936,0.021382675557129933,-0.15630386186013204,0.022209178961417962,-0.15630386186013243,0.02220917896141797,0.8020682880552533,0.055822233055253356
Phi_Dist_15,61888,0,6189,6189,0.5776785326,6189,0.720083527,0.042073183108525494,-0.48675719757193364,-0.11159634843610589,0.028052968461557172,-0.12373719261173424,0.028359669994386324,-0.12373719261173494,0.02835966999438634,0.8290574428841372,0.10897391588413718
Phi_Dist_16,61888,0,6189,6189,0.5185731506,6189,0.62988151,0.03455766168082773,-0.6268574428080014,-0.156932223055392,0.021363007634151932,-0.15123215088537215,0.0212608902361076,-0.15123215088537184,0.021260890236107593,0.6547020297952656,0.02482051979526556
Phi_Dist_17,61888,0,6189,6189,0.6041115814000001,6189,0.78891458,0.052511066258595786,-0.3869909307570953,-0.1400968218508335,0.03787100464150536,-0.13861357288482506,0.03781924600808853,-0.13861357288482515,0.03781924600808854,0.8744318080917097,0.0855172280917097
Phi_Dist_18,61888,0,6189,6189,0.7037824372,6189,0.983661239,0.05662636599074551,-0.30176187765568363,-0.09820914554754612,0.046065338332906214,-0.08816445598444525,0.045641172922480995,-0.0881644559844457,0.04564117292248101,1.1728358850848972,0.1891746460848972
Phi_Dist_19,61888,0,6189,6189,0.6170950414,6189,0.778389351,0.04410745257664469,-0.3327313509112497,-0.1317233125519272,0.0320033162028604,-0.16286609324563456,0.03290096144462049,-0.1628660932456345,0.03290096144462049,0.8600536763056037,0.08166432530560375
Phi_Dist_20,61888,0,6189,6189,0.3229694179,6189,0.456713238,0.06462103506331844,-0.3291497909196376,-0.07951050123857197,0.02389769598951387,-0.09274464168174182,0.024189486089565337,-0.09274464168174154,0.024189486089565327,0.6235296661344895,0.16681642813448944
Phi_Dist_21,61888,0,6189,6189,0.6862370280000001,6189,0.939429485,0.04934143180776028,-0.37695000927331695,-0.024017801099024162,0.036364101446180526,0.006434979857183192,0.03528070077579366,0.006434979857183511,0.03528070077579364,2.200284933395386,1.2608554483953858
Phi_Dist_22,61888,0,6189,6189,0.9270550563,6189,1.218517627,0.04992559184999003,-0.4107690327711179,-0.06929936103222009,0.05186826819762674,-0.04013081578816994,0.05043486986765805,-0.040130815788170474,0.050434869867658084,1.675521815950368,0.457004188950368
